id;access;bicycle;crossing;foot;footway;highway;horse;junction;lanes;lit;maxspeed;name;oneway;service;surface
176;-;yes;-;permissive;-;secondary;no;-;2;-;50;Avenida Esperança;yes;-;asphalt
177;-;yes;-;permissive;-;secondary;no;-;2;-;50;Avenida Esperança;yes;-;asphalt
178;-;yes;-;permissive;-;secondary;no;-;2;-;50;Avenida Esperança;yes;-;asphalt
179;-;yes;-;permissive;-;secondary;no;-;2;-;50;Avenida Esperança;yes;-;asphalt
180;-;yes;-;permissive;-;secondary;no;-;2;-;50;Avenida Esperança;yes;-;asphalt
181;-;yes;-;permissive;-;secondary;no;-;2;-;50;Avenida Esperança;yes;-;asphalt
182;-;yes;-;permissive;-;secondary;no;-;2;-;50;Avenida Esperança;yes;-;asphalt
183;-;yes;-;permissive;-;secondary;no;-;2;-;50;Avenida Esperança;yes;-;asphalt
184;-;yes;-;permissive;-;secondary;no;-;2;-;50;Avenida Esperança;yes;-;asphalt
185;-;yes;-;permissive;-;secondary;no;-;2;-;50;Avenida Esperança;yes;-;asphalt
186;-;yes;-;permissive;-;secondary;no;-;2;-;50;Avenida Esperança;yes;-;asphalt
187;-;yes;-;permissive;-;secondary;no;-;2;-;50;Avenida Esperança;yes;-;asphalt
188;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
189;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-21;-;-;-
190;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-21;-;-;-
191;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-21;-;-;-
192;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-21;-;-;-
193;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-21;-;-;-
194;-;-;-;-;-;residential;-;-;-;-;-;Rua AB-21;-;-;-
195;-;-;-;-;-;residential;-;-;-;-;-;-;-;-;-
196;-;-;-;-;-;residential;-;-;-;-;-;-;-;-;-
197;-;-;-;-;-;residential;-;-;-;-;-;-;-;-;-
198;-;-;-;-;-;residential;-;-;-;-;-;-;-;-;-
199;-;-;-;-;-;residential;-;-;-;-;-;-;-;-;-
200;-;-;-;-;-;tertiary;-;-;-;-;-;-;no;-;-
201;-;-;-;-;-;tertiary;-;-;-;-;-;-;no;-;-
202;-;-;-;-;-;tertiary;-;-;-;-;-;Rua Aroeira;-;-;-
203;-;-;-;-;-;tertiary;-;-;-;-;-;Rua Aroeira;-;-;-
204;-;-;-;-;-;tertiary;-;-;-;-;-;Rua Aroeira;-;-;-
205;-;-;-;-;-;tertiary;-;-;-;-;-;Rua Aroeira;-;-;-
