id;access;bicycle;crossing;foot;footway;highway;horse;junction;lanes;lit;maxspeed;name;oneway;service;surface
159;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
160;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
161;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
162;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
163;-;-;-;-;-;tertiary;-;-;-;-;-;-;-;-;-
164;-;-;-;-;-;tertiary;-;-;-;-;-;Rua R-2;yes;-;-
165;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
166;-;-;-;-;-;tertiary;-;-;-;-;-;Rua Samambaia;yes;-;-
167;-;-;-;-;-;tertiary;-;roundabout;-;-;-;-;-;-;-
168;-;-;-;-;-;tertiary;-;roundabout;-;-;-;-;-;-;-
169;-;-;-;-;-;tertiary;-;roundabout;-;-;-;-;-;-;-
170;-;-;-;-;-;tertiary;-;roundabout;-;-;-;-;-;-;-
171;-;-;-;-;-;tertiary;-;roundabout;-;-;-;-;-;-;-
172;-;-;-;-;-;tertiary;-;roundabout;-;-;-;-;-;-;-
173;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
174;-;-;-;-;-;tertiary;-;-;-;-;-;-;yes;-;-
175;-;-;-;-;-;residential;-;-;-;-;-;Rua r-013;no;-;asphalt
176;-;-;-;-;-;residential;-;-;-;-;-;Rua r-015;no;-;asphalt
177;-;-;-;-;-;residential;-;-;-;-;-;Rua r-016;no;-;asphalt
178;-;-;-;-;-;residential;-;-;-;-;-;Rua r-017;no;-;paved
179;-;-;-;-;-;residential;-;-;-;-;-;Rua r-018;no;-;-
180;-;-;-;-;-;residential;-;-;-;-;-;Rua r-019;no;-;-
181;-;-;-;-;-;residential;-;-;-;-;-;-;no;-;-
182;-;-;-;-;-;residential;-;-;-;-;-;Rua r-020;no;-;-
183;-;-;-;-;-;residential;-;-;-;-;-;Rua r-020;no;-;-
184;-;-;-;-;-;residential;-;-;-;-;-;-;no;-;-
185;-;-;-;-;-;residential;-;-;-;-;-;Rua r-021;no;-;-
186;-;-;-;-;-;residential;-;-;-;-;-;Rua r-022;no;-;-
187;-;-;-;-;-;residential;-;-;-;-;-;-;no;-;-
188;-;-;-;-;-;residential;-;-;-;-;-;Rua r-023;no;-;-
189;-;-;-;-;-;residential;-;-;-;-;-;-;no;-;-
190;-;yes;-;permissive;-;residential;no;-;2;-;50;Rua r-024;no;-;asphalt
191;-;yes;-;permissive;-;residential;no;-;2;-;50;Rua r-024;no;-;asphalt
192;-;yes;-;permissive;-;residential;no;-;2;-;50;Rua r-024;no;-;asphalt
193;-;-;-;-;-;residential;-;-;-;-;-;-;no;-;-
194;-;-;-;-;-;residential;-;-;-;-;-;Rua r-028;no;-;-
